#Energy	Time	I.max_1		I.total_1	I.back_1	I.max_2		I.total_2	I.back_2	I.max_3		I.total_3	I.back_3
407	141.471	2.951903	0.7393666	0.5741684	2.951903	0.7818141	0.5769905	0.8011109	0.5239545	0.4965389
410	142.563	2.601321	0.7162757	0.5505905	2.601321	0.763406	0.5991547	0.849559	0.5178405	0.4580365
413	143.654	2.009644	0.6247759	0.5547206	2.009644	0.6633927	0.5767363	0.829722	0.4875843	0.4546304
416	144.746	1.423307	0.5684451	0.5400336	1.423307	0.5963303	0.5549834	0.8312479	0.5139984	0.4617423
419	145.838	1.024659	0.5348327	0.5627434	1.024659	0.5471996	0.5622866	0.8533738	0.5296		0.4682547
422	146.93	1.160848	0.5130469	0.5322093	1.09714		0.5192177	0.5584887	0.9640034	0.5119275	0.4556863
425	148.079	1.105533	0.4575028	0.4980706	1.105533	0.4681026	0.5188316	0.9197516	0.5127569	0.4965321
428	149.172	1.088366	0.4495894	0.4957857	1.088366	0.4674041	0.5148218	0.8503219	0.4904539	0.4230015
431	150.264	1.088366	0.4913119	0.5487999	1.088366	0.5010245	0.5845397	0.8640553	0.5363543	0.4936846
434	151.356	1.036485	0.4583884	0.4949448	1.005203	0.4693296	0.5097269	0.8487961	0.5100065	0.4530908
437	152.449	0.9857479	0.4578025	0.4963228	0.9857479	0.4613157	0.5022075	0.8972442	0.5100781	0.490081
440	153.541	1.247063	0.4721359	0.5504815	1.247063	0.4791253	0.5224981	0.859859	0.519828	0.4728598
443	154.632	1.029237	0.4601429	0.519091	1.029237	0.4649446	0.5052424	0.9136479	0.5188232	0.4406042
446	155.724	1.031144	0.4086815	0.4563763	1.031144	0.4222908	0.455582	0.8339183	0.4766933	0.4450729
449	156.816	0.993759	0.4500846	0.4980706	0.993759	0.4566034	0.5158221	0.8857998	0.5057966	0.4584589
452	157.908	0.9746849	0.4290937	0.4889657	0.9746849	0.4412685	0.4966506	0.8377331	0.4756868	0.4114481
455	159	0.9899442	0.4454358	0.545787	0.9899442	0.4548264	0.5262917	0.9441664	0.5126497	0.4269662
458	160.089	1.0197		0.4435616	0.5008616	1.0197		0.4475082	0.4740796	0.809122	0.5275291	0.4901695
461	161.182	1.104389	0.4436391	0.4881171	1.104389	0.4554839	0.4911657	0.8568072	0.5061032	0.4786024
464	162.274	1.018937	0.4421742	0.5069225	0.951796	0.4573337	0.5514355	0.9365368	0.4944748	0.4382881
467	163.365	0.9201331	0.4287696	0.4881833	1.019318	0.4386939	0.4972567	0.7942442	0.5003128	0.4395619
470	164.457	1.031907	0.4363406	0.4774162	1.051363	0.450852	0.5117488	0.7900479	0.4882348	0.4345959
473	165.549	1.00177		0.4424242	0.47452		1.00177		0.4489099	0.481171	0.807596	0.5079492	0.4558158
476	166.641	1.003677	0.4267438	0.4556873	1.1021		0.4401719	0.5074295	0.7930998	0.4844762	0.4382267
479	167.733	1.018937	0.4170847	0.459759	1.018937	0.4310108	0.4932046	0.9144108	0.4873748	0.4304745
482	168.906	0.993759	0.4213782	0.4359437	0.993759	0.4311544	0.4742916	0.7976775	0.4999347	0.4673079
485	169.999	1.055177	0.4170794	0.4615302	1.008637	0.4211464	0.4329517	0.8026368	0.4894559	0.4719538
488	171.091	0.9464553	0.4001674	0.4545506	0.9464553	0.4135771	0.4615755	0.8594775	0.4744794	0.4139141
491	172.182	1.04564		0.3940525	0.443149	1.04564		0.4053288	0.4691797	0.8358257	0.4678017	0.4070883
494	173.274	1.021989	0.3960707	0.4152152	1.021989	0.409231	0.4482237	0.860622	0.4535269	0.3857526
497	174.366	0.9876553	0.4072734	0.4661157	1.003677	0.4193035	0.4814549	0.8255257	0.4765094	0.4341598
500	175.493	0.9765923	0.3911712	0.455333	0.911359	0.4041642	0.4725622	0.7953886	0.4556012	0.4034302
503	176.585	0.993759	0.4059104	0.4781635	0.993759	0.4178567	0.4661278	0.7660146	0.4825944	0.4270752
506	177.687	0.9678183	0.3777424	0.4326271	0.9678183	0.3902645	0.4278907	0.7244331	0.4369903	0.3907118
509	178.779	1.024659	0.4206081	0.4532038	1.024659	0.4264691	0.4653055	0.8407849	0.4784338	0.4510881
512	179.871	1.080355	0.3924809	0.4741035	1.080355	0.3993846	0.4345242	0.7923368	0.4718686	0.4366871
515	180.963	0.9987182	0.4010779	0.4281778	0.9987182	0.4095945	0.4359145	0.7358776	0.471419	0.4075379
518	182.054	1.041444	0.3987037	0.4655941	1.041444	0.4087885	0.4578497	0.7625812	0.4692374	0.4304473
521	183.146	1.015885	0.3867877	0.4467575	1.015885	0.392443	0.4230078	0.8033997	0.4523262	0.4221705
524	184.238	0.9342479	0.4099148	0.4514443	0.9342479	0.4186883	0.4845831	0.7908109	0.4819115	0.418703
527	185.33	1.029618	0.4211027	0.4705223	1.029618	0.429958	0.4677682	0.890759	0.4840743	0.454971
530	186.422	1.024277	0.4088811	0.4762483	1.024277	0.4244285	0.4844305	0.8487961	0.4719725	0.3875919
533	187.514	0.9678183	0.4117333	0.4744772	0.9678183	0.4223866	0.4645087	0.7801294	0.4781086	0.426394
536	188.606	0.9582812	0.3849254	0.3978267	0.9582812	0.4025336	0.4343589	0.8125553	0.4561529	0.4167548
539	189.7	0.992996	0.4032987	0.4458077	1.119266	0.4156226	0.4459941	0.7839442	0.4598656	0.4212985
542	190.792	1.076159	0.4233093	0.4529897	1.076159	0.4340321	0.472719	0.7717368	0.4725549	0.4331448
545	191.884	1.236		0.4409581	0.4858282	1.236		0.4527303	0.5286781	0.8522294	0.507532	0.4708093
548	192.975	1.029618	0.4269404	0.4499767	1.029618	0.4366221	0.4580362	0.8278146	0.4878244	0.4314214
551	194.068	0.9537034	0.3785462	0.4203185	0.9537034	0.3983415	0.4525895	0.7969146	0.4382472	0.3743763
554	195.327	1.075396	0.407912	0.4579295	1.075396	0.4180543	0.4802045	0.8644368	0.4841816	0.4602641
557	196.419	0.9384441	0.4194779	0.489717	0.9384441	0.4267285	0.499037	0.7824183	0.4908712	0.4479136
560	197.511	0.9701071	0.4050313	0.4527211	0.9701071	0.4125076	0.4662423	0.748085	0.4613353	0.4245274
563	198.624	1.007874	0.3926142	0.466976	1.007874	0.4045534	0.4625716	0.7831813	0.4618019	0.39952
566	199.747	0.9418775	0.3648952	0.3969975	0.9418775	0.3784448	0.4370208	0.8396405	0.4376732	0.4009642
569	200.839	0.9823145	0.4113376	0.4316033	0.9086886	0.4252192	0.4794543	0.8259072	0.4817377	0.407102
572	201.931	1.013596	0.4129933	0.4772176	1.013596	0.4178352	0.4710744	0.8651997	0.4874021	0.4529478
575	203.022	0.9960479	0.394085	0.4483263	0.9960479	0.4012296	0.4160351	0.7816553	0.4548025	0.3950853
578	204.114	0.9586627	0.397099	0.4509849	0.9586627	0.4086741	0.4741517	0.7683035	0.4787863	0.4282265
581	205.206	0.9403515	0.382627	0.4473336	0.9399701	0.3925624	0.4482237	0.8720664	0.4499164	0.3709225
584	206.298	0.9098331	0.3617794	0.4103416	0.9098331	0.3720983	0.4155264	0.7065035	0.4433767	0.4010732
587	207.39	0.9968108	0.3788288	0.3843464	0.9968108	0.3903893	0.4054766	0.8545183	0.4615601	0.3948128
590	208.482	0.9880368	0.4060763	0.4594554	0.9880368	0.4130653	0.4554845	0.7934812	0.4684983	0.3762019
593	209.574	0.9033479	0.3835801	0.442822	0.9033479	0.3928467	0.4398268	0.8350627	0.4521048	0.3882595
596	210.666	0.9792627	0.3575695	0.4056315	0.9792627	0.3727343	0.4317394	0.7232887	0.4254454	0.3623324
599	211.758	1.012452	0.409557	0.4652594	1.012452	0.4138157	0.4678487	0.8552812	0.4818161	0.4597327
